Batch ID,BatchType,Time (h),Temperature(T:K),pH(pH:pH),Dissolved oxygen concentration(DO2:mg/L),Agitator RPM(RPM:RPM),carbon dioxide percent in off-gas(CO2outgas:%),Oxygen in percent in off-gas(O2:O2  (%)),Vessel Volume(V:L),Sugar feed rate(Fs:L/h),Penicillin concentration(P:g/L)
2.0,Recipe driven approach,0.2,297.87,6.4648,14.678,100,0.090166,0.18917,58201,8,0.001
2.0,Recipe driven approach,0.4,297.94,6.4833,14.659,100,0.1022,0.20204,58204,8,0.00099943
2.0,Recipe driven approach,0.6,297.92,6.5088,14.645,100,0.10621,0.20508,58208,8,0.00099884
2.0,Recipe driven approach,0.8,298.04,6.5303,14.641,100,0.10861,0.20582,58213,8,0.00099825
2.0,Recipe driven approach,1.0,297.99,6.5376,14.605,100,0.11075,0.20574,58214,8,0.00099771
2.0,Recipe driven approach,1.2,297.95,6.5254,14.585,100,0.11291,0.2056,58213,8,0.00099722
2.0,Recipe driven approach,1.4,297.93,6.5037,14.561,100,0.11516,0.20541,58210,8,0.00099675
2.0,Recipe driven approach,1.6,297.99,6.4828,14.553,100,0.11751,0.20535,58208,8,0.00099628
2.0,Recipe driven approach,1.8,297.96,6.4718,14.534,100,0.11996,0.20523,58206,8,0.00099579
2.0,Recipe driven approach,2.0,297.95,6.4761,14.516,100,0.12251,0.2051,58208,8,0.00099525
2.0,Recipe driven approach,2.2,298.01,6.4923,14.489,100,0.12519,0.20491,58211,8,0.00099469
2.0,Recipe driven approach,2.4,297.99,6.5113,14.464,100,0.12798,0.2047,58215,8,0.00099411
2.0,Recipe driven approach,2.6,297.98,6.5258,14.427,100,0.13087,0.20441,58218,8,0.00099354
2.0,Recipe driven approach,2.8,297.97,6.527,14.406,100,0.13389,0.20424,58219,8,0.00099301
2.0,Recipe driven approach,3.0,297.97,6.5137,14.373,100,0.13702,0.204,58218,8,0.00099252
2.0,Recipe driven approach,3.2,297.98,6.4938,14.347,100,0.14026,0.20379,58217,15,0.00099202
2.0,Recipe driven approach,3.4,297.99,6.4791,14.313,100,0.14364,0.20355,58217,15,0.0009915
2.0,Recipe driven approach,3.6,298.0,6.4777,14.28,100,0.14717,0.20329,58219,15,0.00099096
2.0,Recipe driven approach,3.8,298.01,6.4895,14.243,100,0.15083,0.20301,58223,15,0.00099038
2.0,Recipe driven approach,4.0,298.01,6.5066,14.211,100,0.15463,0.20276,58228,15,0.00098979
2.0,Recipe driven approach,4.2,298.02,6.5211,14.161,100,0.15857,0.20248,58232,15,0.00098921
2.0,Recipe driven approach,4.4,298.03,6.5233,14.119,100,0.16263,0.20215,58234,15,0.00098865
2.0,Recipe driven approach,4.6,298.04,6.5114,14.083,100,0.16681,0.20187,58235,15,0.00098813
2.0,Recipe driven approach,4.8,298.04,6.4938,14.048,100,0.17114,0.20164,58235,15,0.00098761
2.0,Recipe driven approach,5.0,298.05,6.4807,14.013,100,0.17562,0.20141,58236,15,0.00098709
2.0,Recipe driven approach,5.2,298.05,6.481,13.979,100,0.18025,0.20118,58237,15,0.00098656
2.0,Recipe driven approach,5.4,298.05,6.4904,13.934,100,0.18503,0.20088,58240,15,0.00098599
2.0,Recipe driven approach,5.6,298.05,6.5041,13.898,100,0.18997,0.20064,58244,15,0.00098542
2.0,Recipe driven approach,5.8,298.06,6.5148,13.848,100,0.19507,0.20031,58248,15,0.00098485
2.0,Recipe driven approach,6.0,298.07,6.5157,13.802,100,0.20035,0.20001,58250,15,0.00098429
2.0,Recipe driven approach,6.2,298.08,6.5066,13.739,100,0.20582,0.19957,58252,15,0.00098376
2.0,Recipe driven approach,6.4,298.08,6.4935,13.68,100,0.21147,0.19913,58253,15,0.00098323
2.0,Recipe driven approach,6.6,298.08,6.4837,13.609,100,0.21732,0.19862,58254,15,0.0009827
2.0,Recipe driven approach,6.8,298.08,6.4807,13.543,100,0.22339,0.19812,58257,15,0.00098213
2.0,Recipe driven approach,7.0,298.08,6.487,13.488,100,0.22967,0.19773,58262,15,0.00098155
2.0,Recipe driven approach,7.2,298.08,6.4985,13.42,100,0.23615,0.19723,58267,15,0.00098094
2.0,Recipe driven approach,7.4,298.08,6.5088,13.344,100,0.24282,0.19667,58273,15,0.00098033
2.0,Recipe driven approach,7.6,298.09,6.5138,13.292,100,0.2497,0.1963,58279,15,0.00097973
2.0,Recipe driven approach,7.8,298.1,6.5116,13.207,100,0.2568,0.19575,58283,15,0.00097915
2.0,Recipe driven approach,8.0,298.11,6.5007,13.141,100,0.26414,0.1953,58287,15,0.00097858
2.0,Recipe driven approach,8.2,298.12,6.49,13.238,100,0.21187,0.19825,58290,15,0.00097801
2.0,Recipe driven approach,8.4,298.12,6.485,13.17,100,0.21104,0.19842,58295,15,0.00097742
2.0,Recipe driven approach,8.6,298.13,6.4865,13.085,100,0.21619,0.19801,58301,15,0.00097682
2.0,Recipe driven approach,8.8,298.13,6.4927,13.019,100,0.22216,0.19764,58308,15,0.00097619
2.0,Recipe driven approach,9.0,298.12,6.5006,12.919,100,0.22841,0.19707,58315,15,0.00097555
